year,month,asset,DQN_return,Long_return
2019,6,Equity Index,0.510277,0.455975
2019,7,Equity Index,0.083647,0.064953
2019,8,Equity Index,-0.124696,-0.287724
2019,9,Equity Index,0.14887,0.182235
2019,10,Equity Index,-0.147268,0.065426
2019,11,Equity Index,0.1512,0.260492
2019,12,Equity Index,0.187862,0.215241
2011,1,Fixed Income,-0.342344,-0.204541
2011,2,Fixed Income,0.195977,0.098435
2011,3,Fixed Income,-0.175343,-0.14942
2011,4,Fixed Income,0.543611,0.267768
2011,5,Fixed Income,0.16944,0.383156
2011,6,Fixed Income,-0.08642,-0.005267
2011,7,Fixed Income,1.022396,0.542403
2011,8,Fixed Income,0.279783,0.470331
2011,9,Fixed Income,0.315073,0.320517
2011,10,Fixed Income,0.147236,-0.081818
2011,11,Fixed Income,0.121892,-0.017544
2011,12,Fixed Income,0.420901,0.280238
2012,1,Fixed Income,0.169669,0.098286
2012,2,Fixed Income,-0.11447,-0.113262
2012,3,Fixed Income,0.01116,-0.156474
2012,4,Fixed Income,0.439355,0.429493
2012,5,Fixed Income,0.286766,0.549066
2012,6,Fixed Income,-0.249773,-0.299626
2012,7,Fixed Income,0.227936,0.310115
2012,8,Fixed Income,0.022548,-0.028809
2012,9,Fixed Income,-0.311722,-0.126546
2012,10,Fixed Income,0.122402,-0.024314
2012,11,Fixed Income,0.207128,0.157705
2012,12,Fixed Income,-0.31171,-0.075816
2013,1,Fixed Income,-0.096885,-0.527827
2013,2,Fixed Income,0.047349,0.332314
2013,3,Fixed Income,0.063503,0.176966
2013,4,Fixed Income,0.300758,0.24085
2013,5,Fixed Income,-0.675048,-0.561544
2013,6,Fixed Income,-0.548846,-0.437672
2013,7,Fixed Income,-0.273039,0.066046
2013,8,Fixed Income,-0.20525,-0.224082
2013,9,Fixed Income,0.36031,0.202052
2013,10,Fixed Income,0.059565,0.189376
2013,11,Fixed Income,-0.256417,-0.116169
2013,12,Fixed Income,-0.350387,-0.488361
2014,1,Fixed Income,0.478907,0.654142
2014,2,Fixed Income,0.0,0.065636
2014,3,Fixed Income,0.05733,-0.011497
2014,4,Fixed Income,0.151118,0.154747
2014,5,Fixed Income,0.192795,0.401461
2014,6,Fixed Income,0.015826,0.062202
2014,7,Fixed Income,0.0,0.018958
2014,8,Fixed Income,0.0,0.446903
2014,9,Fixed Income,0.0,-0.086323
2014,10,Fixed Income,0.0,0.274361
2014,11,Fixed Income,0.114766,0.280757
2014,12,Fixed Income,0.0,0.231138
2015,1,Fixed Income,0.089547,0.561841
2015,2,Fixed Income,-0.489268,-0.173136
2015,3,Fixed Income,0.032447,0.085063
2015,4,Fixed Income,-0.271055,-0.275303
2015,5,Fixed Income,-0.256629,-0.122395
2015,6,Fixed Income,-0.185669,-0.333966
2015,7,Fixed Income,0.162363,0.210799
2015,8,Fixed Income,-0.316369,-0.099456
2015,9,Fixed Income,0.345359,0.243275
2015,10,Fixed Income,-0.056863,0.003021
2015,11,Fixed Income,-0.046366,0.033631
2015,12,Fixed Income,0.026963,-0.238264
2016,1,Fixed Income,0.0,0.522732
2016,2,Fixed Income,-0.030536,0.32669
2016,3,Fixed Income,0.022521,-0.065514
2016,4,Fixed Income,-0.192568,-0.131509
2016,5,Fixed Income,0.194097,0.115303
2016,6,Fixed Income,0.0,0.489774
2016,7,Fixed Income,0.021749,0.142963
2016,8,Fixed Income,-0.109431,-0.136995
2016,9,Fixed Income,-0.126571,0.055397
2016,10,Fixed Income,-0.359377,-0.45634
2016,11,Fixed Income,-0.09219,-0.423138
2016,12,Fixed Income,-0.0277,0.067653
2017,1,Fixed Income,-0.039298,-0.105905
2017,2,Fixed Income,0.0,0.366658
2017,3,Fixed Income,0.0,-0.165889
2017,4,Fixed Income,0.0,0.074799
2017,5,Fixed Income,0.0,0.137003
2017,6,Fixed Income,0.0,-0.305353
2017,7,Fixed Income,0.0,0.028884
2017,8,Fixed Income,0.0,0.40986
2017,9,Fixed Income,0.0,-0.319195
2017,10,Fixed Income,0.0,0.074858
2017,11,Fixed Income,0.0,-0.109528
2017,12,Fixed Income,0.0,-0.055162
2018,1,Fixed Income,0.0,-0.633444
2018,2,Fixed Income,0.0,-0.058833
2018,3,Fixed Income,0.0,0.35994
2018,4,Fixed Income,0.0,-0.223566
2018,5,Fixed Income,-0.003022,0.402625
2018,6,Fixed Income,0.0,0.012086
2018,7,Fixed Income,0.0,-0.219925
2018,8,Fixed Income,0.0,0.215469
2018,9,Fixed Income,0.0,-0.385502
2018,10,Fixed Income,0.0,-0.003954
2018,11,Fixed Income,0.0,0.256127
2018,12,Fixed Income,-0.210819,0.437635
2019,1,Fixed Income,-0.010671,0.212163
2019,2,Fixed Income,-0.095826,-0.1645
2019,3,Fixed Income,0.333607,0.543526
2019,4,Fixed Income,0.0,-0.205319
