contract,round,date,position,return
AN,1,2012-07-24,1.0,-0.044883468626710235
AN,1,2012-07-25,1.0,0.08051104076720488
AN,1,2012-07-26,1.0,0.05604110732793041
AN,1,2012-07-27,1.0,0.060542431317449255
AN,1,2012-07-30,1.0,0.025284439049572487
AN,1,2012-07-31,1.0,0.009293757326681841
AN,1,2012-08-01,1.0,-0.038464198107984605
AN,1,2012-08-02,1.0,-0.010554644431797858
AN,1,2012-08-03,1.0,0.08875841447859933
AN,1,2012-08-06,-1.0,0.02088232745708536
AN,1,2012-08-07,-1.0,0.0029136437314058045
AN,1,2012-08-08,-1.0,-0.009110010018460742
AN,1,2012-08-09,-1.0,-0.01388373594999899
AN,1,2012-08-10,-1.0,0.009156517449305686
AN,1,2012-08-13,-1.0,0.04615542090360778
AN,1,2012-08-14,-1.0,0.011339906306461521
AN,1,2012-08-15,-1.0,-0.008781772133683752
AN,1,2012-08-16,-1.0,-0.013828426508681175
AN,1,2012-08-17,-1.0,0.09115688653842759
AN,1,2012-08-20,1.0,-0.02918888510620558
AN,1,2012-08-21,1.0,0.007292195412103155
AN,1,2012-08-22,-1.0,0.02958884208997344
AN,1,2012-08-23,-1.0,0.04155509463634392
AN,1,2012-08-24,-1.0,0.032907047352443465
AN,1,2012-08-27,1.0,0.0261301590246084
AN,1,2012-08-28,1.0,-0.022897092579711738
AN,1,2012-08-29,1.0,-0.011585966186807684
AN,1,2012-08-30,1.0,-0.05921948202734763
AN,1,2012-08-31,1.0,0.026312258367260113
AN,1,2012-09-04,1.0,-0.09724439725009608
AN,1,2012-09-05,1.0,-0.03347131651095785
AN,1,2012-09-06,1.0,0.10271650826404781
AN,1,2012-09-07,1.0,0.09577123898253018
AN,1,2012-09-10,1.0,-0.048526485677760245
AN,1,2012-09-11,1.0,0.09091623295781168
AN,1,2012-09-12,1.0,0.01817747924186447
AN,1,2012-09-13,1.0,0.08830977736797961
AN,1,2012-09-14,1.0,0.016267827136549628
AN,1,2012-09-17,1.0,-0.09643050985350832
AN,1,2012-09-18,1.0,-0.017412342064173497
AN,1,2012-09-19,1.0,0.05282358829264807
AN,1,2012-09-20,1.0,-0.04455123382941661
AN,1,2012-09-21,1.0,0.010647609969866472
AN,1,2012-09-24,1.0,-0.020906391349066064
AN,1,2012-09-25,1.0,-0.02517222809257661
AN,1,2012-09-26,1.0,-0.0447579874121038
AN,1,2012-09-27,1.0,0.09074979209440968
AN,1,2012-09-28,1.0,-0.07009056455611212
AN,1,2012-10-01,1.0,0.006829516327374581
AN,1,2012-10-02,1.0,-0.11676975645750426
AN,1,2012-10-03,1.0,-0.0464449912513442
AN,1,2012-10-04,1.0,0.039501406934040514
AN,1,2012-10-05,1.0,-0.06715988103488656
AN,1,2012-10-08,1.0,0.046465280369038305
AN,1,2012-10-09,1.0,-0.003927538436526387
AN,1,2012-10-10,1.0,0.02159869778253956
AN,1,2012-10-11,1.0,0.02894201348296061
AN,1,2012-10-12,1.0,-0.030551871261385706
AN,1,2012-10-15,1.0,0.014258072173904957
AN,1,2012-10-16,1.0,0.024879744943218245
AN,1,2012-10-17,1.0,0.10978284495708153
AN,1,2012-10-18,1.0,-0.007516762154964598
AN,1,2012-10-19,1.0,-0.03523128422503872
AN,1,2012-10-22,1.0,-0.027177494696299626
AN,1,2012-10-23,1.0,-0.04126708799671467
AN,1,2012-10-24,1.0,0.0871215481349329
AN,1,2012-10-25,1.0,0.020627822447101363
AN,1,2012-10-26,1.0,0.0009041694474538049
AN,1,2012-10-29,1.0,-0.02705776079584962
AN,1,2012-10-30,1.0,0.035797499530793336
AN,1,2012-10-31,1.0,0.008688356621611699
AN,1,2012-11-01,1.0,0.02443656332951931
AN,1,2012-11-02,1.0,-0.059184896907223034
AN,1,2012-11-05,1.0,0.01808903945111598
AN,1,2012-11-06,1.0,0.0837623683272449
AN,1,2012-11-07,1.0,-0.021686345624622495
AN,1,2012-11-08,1.0,-0.0012962847919969433
AN,1,2012-11-09,1.0,-0.021185509434846594
AN,1,2012-11-12,1.0,0.04359330403125978
AN,1,2012-11-13,1.0,0.011825611691801644
AN,1,2012-11-14,1.0,-0.06444946566806924
AN,1,2012-11-15,1.0,-0.05789484635329012
AN,1,2012-11-16,1.0,0.004800133010328444
AN,1,2012-11-19,1.0,0.0903307395831832
AN,1,2012-11-20,1.0,-0.04215549834482835
AN,1,2012-11-21,1.0,-0.00851077859840446
AN,1,2012-11-23,1.0,0.12102334552582336
AN,1,2012-11-26,1.0,-0.006413392262092937
AN,1,2012-11-27,1.0,-0.010844903092801159
AN,1,2012-11-28,1.0,0.03349052291704267
AN,1,2012-11-29,1.0,-0.04764416989982883
AN,1,2012-11-30,1.0,-0.012246254288772828
AN,1,2012-12-03,1.0,-0.006387865491612486
AN,1,2012-12-04,1.0,0.06912058948639084
AN,1,2012-12-05,1.0,-0.013858249305091936
AN,1,2012-12-06,1.0,0.01764221239665389
AN,1,2012-12-07,1.0,0.019204764730477428
AN,1,2012-12-10,1.0,-0.0015182061822951347
AN,1,2012-12-11,1.0,0.046543540187199146
AN,1,2012-12-12,1.0,0.05782049131847319
AN,1,2012-12-13,1.0,-0.0595764630361622
AN,1,2012-12-14,1.0,0.06043006970195179
AN,1,2012-12-17,1.0,-0.02025321988972926
AN,1,2012-12-18,1.0,-0.020648920012860512
AN,1,2012-12-19,1.0,-0.04580568500545195
AN,1,2012-12-20,1.0,-0.009756160431735285
AN,1,2012-12-21,1.0,-0.10589744563469343
AN,1,2012-12-24,1.0,-0.04927647336194269
AN,1,2012-12-26,1.0,0.006737238857874622
AN,1,2012-12-27,1.0,0.01083594334929326
AN,1,2012-12-28,1.0,-0.005838461089163904
AN,1,2012-12-31,1.0,0.019759837141618202
AN,1,2013-01-02,-1.0,0.14758666662647738
AN,1,2013-01-03,-1.0,-0.014461838231466344
AN,1,2013-01-04,-1.0,0.0025113714401114816
AN,1,2013-01-07,-1.0,-0.027807187736829733
AN,1,2013-01-08,-1.0,-0.0029907490036819454
AN,1,2013-01-09,-1.0,-0.01872069511297489
AN,1,2013-01-10,-1.0,-0.1230166320695387
AN,1,2013-01-11,1.0,0.07649181507416301
AN,1,2013-01-14,1.0,0.01179990866398857
AN,1,2013-01-15,1.0,-0.011094400988717591
