date,regime,regime_prob_0,regime_prob_1,regime_prob_2
2013-05-29,1,1.7266948739208064e-27,1.0,0.0
2013-05-30,1,1.2804116285958792e-31,1.0,0.0
2013-05-31,1,9.052871677508172e-37,1.0,0.0
2013-06-03,1,8.013310078114478e-36,1.0,0.0
2013-06-04,1,4.333702934160928e-37,1.0,0.0
2013-06-05,1,5.979095992967758e-38,1.0,0.0
2013-06-06,1,3.559131475025811e-38,1.0,0.0
2013-06-07,1,7.649709517732737e-39,1.0,0.0
2013-06-10,1,2.5966747127184324e-43,1.0,0.0
2013-06-11,1,1.1106643585679915e-44,1.0,0.0
2013-06-12,1,2.6087592380271196e-41,1.0,0.0
2013-06-13,1,1.1246116723103607e-41,1.0,0.0
2013-06-14,1,1.5744182998720326e-41,1.0,0.0
2013-06-17,1,5.008024251295709e-41,1.0,0.0
2013-06-18,1,2.8124318488729364e-36,1.0,0.0
2013-06-19,1,6.218631681475154e-35,1.0,0.0
2013-06-20,1,1.7343204579203583e-39,1.0,0.0
2013-06-21,1,1.5952448475881602e-44,1.0,0.0
2013-06-24,1,6.516931533282751e-58,1.0,0.0
2013-06-25,1,1.8328147885073773e-56,1.0,0.0
2013-06-26,1,4.868267763692577e-52,1.0,0.0
2013-06-27,1,5.7788556254243636e-43,1.0,0.0
2013-06-28,1,2.0996992386891955e-47,1.0,0.0
2013-07-01,1,1.2049263066617874e-46,1.0,0.0
2013-07-02,1,2.973157764458886e-50,1.0,0.0
2013-07-03,1,2.469259741260959e-51,1.0,0.0
2013-07-04,1,1.1314739158694154e-52,1.0,0.0
2013-07-05,1,1.4963150700932355e-43,1.0,0.0
2013-07-08,1,1.0823334745687348e-39,1.0,0.0
2013-07-09,1,2.385563983081207e-33,1.0,0.0
2013-07-10,1,1.419741592780791e-31,1.0,0.0
2013-07-11,1,4.6851551836028314e-24,1.0,0.0
2013-07-12,1,5.857587849714008e-22,1.0,0.0
2013-07-15,1,2.785277509126637e-16,1.0,0.0
2013-07-16,1,4.024951430546756e-21,1.0,0.0
2013-07-17,1,3.732116957342815e-23,1.0,0.0
2013-07-18,1,1.957125426010239e-21,1.0,0.0
2013-07-19,1,1.3066843087715581e-20,1.0,0.0
2013-07-22,1,1.2327641200279939e-26,1.0,0.0
2013-07-23,1,1.357764111811183e-22,1.0,0.0
2013-07-24,1,3.5902789995780985e-30,1.0,0.0
2013-07-25,1,1.6784377067273736e-35,1.0,1.0901864079125171e-297
2013-07-26,1,1.42094217916236e-38,1.0,3.2223067015715893e-240
2013-07-29,1,2.005695686544164e-42,1.0,6.658623029017943e-279
2013-07-30,1,2.723050437584109e-46,1.0,5e-324
2013-07-31,1,3.610160950966719e-50,1.0,0.0
2013-08-01,1,5.333612832165346e-44,1.0,0.0
2013-08-02,1,7.909516472495032e-32,1.0,0.0
2013-08-05,1,3.446901610353409e-30,1.0,0.0
2013-08-06,1,2.742256629902198e-31,1.0,0.0
2013-08-07,1,2.3914595414642587e-42,1.0,2.706502561799071e-239
2013-08-08,1,7.09691908941186e-66,1.0,2.417819389563249e-211
2013-08-09,1,3.8746679396852705e-88,1.0,5.7062621504537525e-176
2013-08-12,1,1.839280596842065e-87,1.0,1.0466548851927871e-171
2013-08-13,1,1.063631559357555e-50,1.0,9.696031190759568e-202
2013-08-14,1,4.62318541746168e-31,1.0,7.346252206095534e-239
2013-08-15,1,1.1347798930008436e-23,1.0,0.0
2013-08-16,1,3.563087692143356e-21,1.0,0.0
2013-08-19,1,9.882728675792417e-15,1.0,3.4783866602445e-310
2013-08-20,1,1.946374115722147e-13,0.9999999999997726,1.0109833727706893e-276
2013-08-21,1,6.858539361136057e-13,0.9999999999993179,1.7589127604683702e-167
2013-08-22,1,1.668851079905704e-11,0.999999999983288,1.1290360725190387e-224
2013-08-23,1,2.411115114818704e-10,0.9999999997588702,0.0
2013-08-26,1,5.3055712297345094e-14,1.0,0.0
2013-08-27,1,2.9003979720903854e-17,1.0,0.0
2013-08-28,1,5.679240864634998e-16,1.0,0.0
2013-08-29,1,2.756423479144622e-15,1.0,0.0
2013-08-30,1,1.0518220554419854e-18,1.0,0.0
2013-09-02,1,8.532020456071965e-18,1.0,0.0
2013-09-03,1,2.5912880124134566e-13,0.9999999999997726,0.0
2013-09-04,1,3.535859577505708e-14,1.0,0.0
2013-09-05,1,8.598904350934744e-19,1.0,0.0
2013-09-06,1,3.061018466582447e-15,1.0,0.0
2013-09-09,1,7.642136313032455e-14,0.9999999999998863,0.0
2013-09-10,1,9.345077035719635e-19,1.0,0.0
2013-09-11,1,4.2470647434585e-13,0.9999999999995453,0.0
2013-09-12,1,4.656982227292641e-13,0.9999999999995453,0.0
2013-09-13,1,7.498057999180466e-27,1.0,0.0
2013-09-16,1,2.4128403249960956e-26,1.0,0.0
2013-09-17,1,3.964068934666106e-25,1.0,0.0
2013-09-18,1,1.1158338174766608e-28,1.0,0.0
2013-09-19,1,4.3393586823748676e-30,1.0,0.0
2013-09-20,1,3.2529282197769815e-27,1.0,0.0
2013-09-23,1,9.841999006760884e-29,1.0,0.0
2013-09-24,1,2.4274674094371955e-45,1.0,0.0
2013-09-25,1,3.3653894168203565e-66,1.0,0.0
2013-09-26,1,3.956352574810789e-76,1.0,0.0
2013-09-27,1,1.7560386387252805e-90,1.0,0.0
2013-09-30,1,9.862024361971448e-92,1.0,0.0
2013-10-01,1,3.9207146351457673e-109,1.0,0.0
2013-10-02,1,5.3752095281077365e-130,1.0,0.0
2013-10-03,1,5.352732237367072e-150,1.0,0.0
2013-10-04,1,7.174183951280357e-138,1.0,0.0
2013-10-07,1,3.3439597496516646e-123,1.0,0.0
2013-10-08,1,2.9622963724622883e-118,1.0,0.0
2013-10-09,1,8.595725161355857e-122,1.0,0.0
2013-10-10,1,1.1779847341851113e-104,1.0,0.0
2013-10-11,1,4.6954030479366994e-63,1.0,0.0
2013-10-14,1,1.726358691267942e-79,1.0,0.0
2013-10-15,1,2.886010007336704e-88,1.0,1.7822294336178016e-236
2013-10-16,1,1.4107734138533506e-74,1.0,2.9028169544282457e-227
2013-10-17,1,2.9065862191843834e-60,1.0,9.839302289716274e-242
2013-10-18,1,9.98633689724174e-56,1.0,2.2392295799513452e-262
2013-10-21,1,7.6531783180827e-61,1.0,1.1784739917451548e-250
2013-10-22,1,9.594542746716415e-62,1.0,4.311826601340558e-225
2013-10-23,1,3.006177062117369e-47,1.0,7.972679289400735e-157
2013-10-24,1,1.0451854014345439e-39,1.0,1.4403998041793483e-109
2013-10-25,1,3.6383200699710596e-44,1.0,6.466478135921834e-128
2013-10-28,1,2.7053232628787685e-44,1.0,1.9235134539151945e-156
2013-10-29,1,4.034508647444938e-41,1.0,8.362822771384187e-143
2013-10-30,1,6.94390993115049e-35,1.0,1.5116546116546719e-120
2013-10-31,1,3.817144644340383e-36,1.0,1.0621257165836092e-129
2013-11-01,1,4.4851181274037176e-42,1.0,3.6866538968020505e-116
2013-11-04,1,4.594632641836424e-42,1.0,1.900296495446905e-119
2013-11-05,1,1.2263163733305407e-37,1.0,1.4309108475137883e-137
2013-11-06,1,1.1688363472674986e-41,1.0,1.3424264843561449e-201
2013-11-07,1,5.245477456487781e-47,1.0,3.2146013054135615e-245
2013-11-08,1,4.52092632266082e-40,1.0,1.1337646675166789e-283
2013-11-11,1,1.1390072769499895e-34,1.0,0.0
2013-11-12,1,4.646489773685472e-31,1.0,0.0
2013-11-13,1,3.7281230283998944e-34,1.0,0.0
2013-11-14,1,1.8098380737719326e-40,1.0,0.0
2013-11-15,1,2.1491058582657535e-46,1.0,0.0
2013-11-18,1,1.336652100376567e-38,1.0,0.0
2013-11-19,1,5.7937081144776785e-43,1.0,0.0
2013-11-20,1,3.552534186138598e-43,1.0,0.0
2013-11-21,1,5.094994457404201e-46,1.0,0.0
